symptoms,label
frequent episodes of stone formation,Recurrent salivary stones
severe abdominal or bet on pain blood in urine frequent urination pain during urination,Urinary Stones (Kidney Stones)
redness pain tenderness swelling skin changes lymph thickening enlargement,Cellulitis
pain or discomfort in the tailbone area puff up redness drainage of pus or blood abscess formation,Pilonidal Cyst
fatigue weakness picket skin shortness of breath jaundice,Hemolytic Anemia
high blood pressure during pregnancy,Pregnancy-Induced Hypertension
fatigue jaundice abdominal pain nausea vomiting moderate,Hepatitis due to a Toxin
muscle weakness pain inflammation,Myositis
sinew pain and stiffness joint pain fatigue,Polymyalgia Rheumatica
nausea regurgitation drowsiness dizziness confusion seizures changes in heart rate low blood pressure respiratory distress,Poisoning due to Antidepressants
increased of rapid pressure attack euphoria rate high energy dilated heart blood stroke heart risk pupils or,Drug Abuse (Cocaine)
blurred or distorted vision eye strain headaches uneven curve of cornea,Astigmatism
for a few days fatigue abdominal pain or swelling jaundice neurological symptoms tremors difficulty speaking or walking,Wilson Disease
difficulty eating swelling tenderness pain,Sialolithiasis
mild itching and irritation in the vagina and vulva redness and swelling of the vulva white thick clumpy vaginal discharge resembling cottage cheese burning sensation during urination pain during sexual intercourse rash or soreness in the affected area,Vaginal Yeast Infection
skin sores fever weight loss enlarged spleen or liver improved with rest,Leishmaniasis
undue bleeding and bruising prolonged bleeding from wounds or after dental work or surgery spontaneous bleeding in joints or muscles,Hemophilia
dizziness low blood pressure slow heart rate nausea vomiting,Antihypertensives Poisoning
sudden and severe abdominal or pelvic pain on one side knifelike or stabbing pain nausea vomiting fever rapid heartbeat abdominal tenderness bloating swelling pain during intercourse abnormal bleeding or spotting,Ovarian Torsion
vertigo hearing loss tinnitus ear fullness,Meniere Disease
chest pain sharp or dull difficulty breathing or shortness of breath rapid or shallow breathing coughing up blood or pink tinged phlegm decreased oxygen levels wheezing cyanosis bluish discoloration of the skin chest wall bruising rib fractures associated injuries,Lung Contusion
blurred distance vision asthenopia squinting,Myopia
fatigue numbness heartbeat or or muscle tingling irregular or weakness or vomiting nausea palpitations,Hyperkalemia
the in the of difficulty of positioning opening underside abnormal spraying the urethral urine on urination curvature of penis penile,Hypospadias
fatigue breath decreased shortness of weakness skin tolerance exercise pale,Anemia of Chronic Disease
intermittent fragile bones loss of height over time back pain fractures,Osteoporosis
recurrent disable migraines,Chronic Migraine
various symptoms depending on the particular disorder including hormonal imbalances,Pituitary Disorder
chest pain sharp or dull difficulty breathing or shortness of breath rapid or shallow breathing coughing up blood or pink tinged sputum decreased oxygen levels wheezing cyanosis bluish discoloration of the skin chest wall bruising rib fractures associated injuries no medication taken,Lung Contusion
abdominal or back pain unexplained weight loss hormonal imbalances,Adrenal Cancer
joint pain stiffness swelling constant,Arthritis
severe and chronic pain often in the limbs with associated swelling changes in skin color or temperature abnormal sweating limited range of motion,Complex Regional Pain Syndrome
severe upper abdominal pain nausea vomiting fever rapid pulse egotistical and tender abdomen jaundice,Acute Pancreatitis
inflammation pain weakness muscle,Myositis
persistent hunger weight loss dehydration visible peristalsis tangible mass fussiness,Pyloric stenosis
sudden brief muscle contractions or jerks often affecting the arms leg or face,Myoclonus
easy bruising prolonged bleeding after injury or surgery excessive bleeding from minor cuts or abrasions frequent nosebleeds heavy menstrual bleeding,Coagulation (Bleeding) Disorder
swollen blood vessels in the esophagus vomiting blood black tarry stools intermittent,Esophageal Varices
chronic back pain and stiffness especially in the morning or after periods of inactivity limited range of motion in the spine fatigue inflammation and pain in other joints such as hips shoulders knees discomfort or pain in the neck difficultness maintaining proper posture tenderness or swelling in affected areas tingling or numbness in extremities in severe cases,Spondylitis
swelling of the scrotum,Hydrocele of the Testicle
vexation dizziness nausea or vomiting confusion memory problems sensitivity to light or noise mood changes,Concussion
since this morning severe nausea and vomiting during pregnancy,Hyperemesis Gravidarum
depends on the specific cranial nerve involved symptoms can include vision changes eye movement abnormalities facial weakness or paralysis difficulty swallowing or speaking going of sensation in the face or other areas,Cranial Nerve Palsy
or bleeding surgery in from work prolonged muscles or bruising dental excessive joints wounds spontaneous and after bleeding bleeding or,Hemophilia
mouth sores blisters and throat loss swallowing difficulty sore in of the appetite or fever painful throat,Herpangina
mood swings bloating breast tenderness excitability,Premenstrual Tension Syndrome
fatigue weakness pale skin truncation of breath tingling or numbness in the hands and feet balance problems sore tongue,Vitamin B12 Deficiency
recurrent episodes of wheezing shortness of breath bureau tightness coughing especially at night or in response to triggers such as allergens or exercise,Asthma
acute burning pain swelling changes in skin temperature,Complex Regional Pain Syndrome (CRPS)
extreme weight loss fear of gaining weight distorted body image fever present,Anorexia Nervosa
or discomfort vaginal bladder changes pain habits bowel or pelvic bleeding in abnormal,Endometrial Cancer
moderate sore throat fever rash red sandpaper like swollen glands,Scarlet Fever
intercourse fever sudden spotting abdominal pain pain pelvic or nausea abdominal heartbeat tenderness stabbing severe or swelling pain during on one vomiting bloating bleeding rapid or and side sharp abnormal,Ovarian Torsion
yellowing of the skin and eyes pale stools dark urine mild,Neonatal Jaundice
or bending the bruising severe straightening pain difficulty knee swelling deformity,Fracture of the Patella
joint pain sensation stiffness swelling reduced range of motion,Osteochondrosis
redness warmth swelling and tenderness along a vein pain or discomfort skin discoloration visible veins fever,Thrombophlebitis
skin itchy rash inflamed red,Eczema
the blisters around on painful or mouth the small lips,Cold Sore
high blood pressure proteinuria swelling headaches visual disturbances intermittent,Preeclampsia
severe abdominal or back pain blood in urine frequent urination pain during urination intermittent,Urinary Stones (Kidney Stones)
difficulty heartburn swallowing chest pain,Hiatal Hernia
recurrent episodes of wheezing shortness of breath chest tightness coughing especially at nox or in response to triggers such as allergens or exercise,Asthma
for a few days excessive sweating beyond what is necessary for temperature regulation typically in specific areas such as palms soles underarms may interfere with daily activities,Hyperhidrosis
intense joint pain intumescency redness,Gout
intermittent intense itching especially at night small blisters or bumps,Scabies
easy or excessive bruising prolonged or excessive bleeding from cuts or injuries frequent nosebleeds punishing or prolonged menstrual periods bleeding gums blood in urine or stool,Von Willebrand Disease
intermittent rash itching swelling difficulty breathing gastrointestinal symptoms,Food Allergy
confusion pain chest purple rash petechial spots red respiratory neurological distress symptoms or small,Fat Embolism
fatigue frequent infections easy bruising or bleeding,Myelodysplastic Syndrome
fatigue swelling or resistance elevated liver enlarged enzymes abdominal liver insulin pain,Nonalcoholic Liver Disease (NASH)
recurrent episodes binge compensatory of without eating behaviors,Binge Eating Disorder
harm the thoughts in or the trouble guilt appetite frequent sadness feelings hopelessness baby decisions or emptiness crying with or patterns baby difficulty interest or persistent irritability pleasure of sleep concentrating fatigue making worthlessness of of of or overwhelming loss feelings harming bonding changes or self activities in,Postpartum Depression
or the muscle affecting arms face jerks contractions sudden or legs often brief,Myoclonus
muscular tissue stiffness tremors involuntary movements,Extrapyramidal Effect of Drugs
chronic diarrhea weight loss abdominal pain or bloating nutrient deficiencies vitamins minerals fatigue failure to prosper,Intestinal Malabsorption
nausea vomiting abdominal pain general malaise weakness increased thirst frequent urination worse in morning,Ethylene glycol poisoning-1
persistent sore throat difficultness swallowing voice changes ear pain neck mass weight loss,Head and Neck Cancer
skin sores fever weight loss lucubrate spleen or liver,Leishmaniasis
red swollen itchy bumps,Insect Bites
redness pain tenderness swelling skin changes lymph node enlargement intermittent,Cellulitis
difficulty or poor urinary stream urinary tract infections urinary frequency or urgency abdominal dilatation poor weight gain,Urethral Valves
chest pain or discomfort angina shortness of breath fatigue irregular heartbeat dizziness nausea sweating jaw or arm pain in the ass in some cases heart attack when a coronary artery becomes completely blocked,Coronary Atherosclerosis
enlarged infants in headache developmental nausea head cognitive or problems vomiting,Hydrocephalus
curvature of the penis pain during erections,Peyronie Disease
recurrent episodes of wheezing shortness of breath chest tightness coughing especially at night or in response to triggers such as allergens or exercise,Asthma
easy bruising protracted bleeding from cuts petechiae red or purple spots on the skin nosebleeds excessive menstrual bleeding,Thrombocytopenia
anxiety restlessness petulance tremors sweating nausea vomiting insomnia drug cravings,Drug Withdrawal
itching around the anus or vagina restless sleep irritability anal or vaginal discharge abdominal pain or discomfort loss of appetite,Pinworm Infection
joint pain swelling tenderness limited range of motion moderate,Bursitis
nausea jaundice abdominal fatigue vomiting pain,Hepatitis due to a Toxin
severe fever and pain or on pain sharp intercourse rapid pain or swelling pelvic spotting nausea vomiting bloating during stabbing abdominal heartbeat tenderness side bleeding abnormal sudden abdominal or one,Ovarian Torsion
during pressure high blood pregnancy,Pregnancy-Induced Hypertension
hemangioblastomas tumors in the brain spinal cord or other organs retinal angioma abnormal blood vessel growth in the retina renal cell carcinomas kidney tumors pheochromocytomas adrenal gland tumors pancreatic cysts tumors other tumors or cysts,Von Hippel-Lindau Disease
yellowing of the skin and eyes picket stools dark urine,Neonatal Jaundice
floaters in vision blurry visual modality eye pain,Vitreous Hemorrhage
eye redness severe eye pain blurred vision,Scleritis
pain muscle loss of chronic sensation weakness,Syringomyelia
to distension failure abdominal chronic in meconium newborns pass constipation,Hirschsprung Disease
nerve sharp pain the shooting affected along,Neuralgia
red itchy and soapy patches of skin dandruff flaky scalp,Seborrheic Dermatitis
ear pain the drainage from fever ear fluid,Otitis Media
painless lump or swelling facial changes moderate,Pleomorphic adenoma
fatigue abdominal pain joint pain memory loss or cognitive difficulties developmental delays in children anemia,Lead Poisoning
since this morning fatigue nausea excessive thirst kidney stones,Hypercalcemia
fatigue weakness pale skin shortness of breath decreased exercise tolerance started after cold,Anemia of Chronic Disease
nausea vomiting early satiety bloating abdominal pain poor appetite,Gastroparesis
cobwebs fever swelling discharge from vision vision decreased or the in to eye floaters tearing redness increased vision excessive photophobia eye light sensitivity the dark spots pain blurred,Endophthalmitis
fatigue weakness pale skin shortness of breath tingling or numbness in the hands and pes balance problems sore tongue,Vitamin B12 Deficiency
pain swelling inflammation discharge from the nose,Abscess of Nose
growth on the conjunctiva white part of the eye,Pterygium
enlarged red increased spleen fatigue headache cell dizziness blood count itching,Polycythemia Vera
mild to moderate head pain tightness or pressure sensation on both sides of head mild,Tension Headache
joint pain fatigue skin blizzard,Lupus
growth hair in excessive women,Hirsutism
pain chest irregular fainting breath shortness discomfort or of fatigue heart rhythms dizziness,Heart Block
tilting eye depth vision double perception poor head fatigue,Eye alignment disorder
penis during of curvature erections pain the,Peyronie Disease
fatigue abdominal swelling or pain enlarged liver elevated liver enzymes insulin resistance,Nonalcoholic Liver Disease (NASH)
fever rash itching symptoms swelling respiratory,Drug Reaction
shoulder pain weakness or loss of strength limited range of motion shoulder stiffness,Rotator Cuff Injury
decreased urine output fluid retention tire,Acute Kidney Injury
chronic diarrhea weight loss abdominal painful sensation or bloating nutrient deficiencies vitamins minerals fatigue failure to thrive,Intestinal Malabsorption
vertigo hearing loss tinnitus ear fullness,Meniere Disease
sharp or aching botheration in the lower abdomen or groin,Round Ligament Pain
joint pain stiffness swelling reduced range of motion no medication taken,Osteochondrosis
ear pain fever fluid drainage from the ear,Otitis Media
sedation relaxation slim down anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce use continued use despite negative consequences such as relationship problems health risks,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
joint pain stiffness swelling no fever,Osteoarthritis
worse at night ear pain particularly behind the ear swelling and redness of the ear or the area behind the ear fever headache hearing loss or impaired hearing drainage of fluid or pus from the ear earache irritability in infants and young children tenderness or pain when touching the area mastoid bone protrusion or swelling,Mastoiditis
chronic diarrhea weight loss abdominal pain or bloating nutrient deficiencies vitamins minerals fatigue failure to thrive,Intestinal Malabsorption
lice affected the intense area in or itching visible nits,Parasitic Infections
yellowish the usually conjunctiva s eye cornea surface on near white or growth the,Pinguecula
painful blisters on the skin and mucose membranes,Pemphigus
pain or soreness in the tailbone area swelling redness drainage of pus or blood abscess formation,Pilonidal Cyst
heartbeat and decreased energy rapid alertness increased appetite,Drug Abuse (Methamphetamine)
depth perception eye fatigue tilting head vision poor double,Eye alignment disorder
constant visible bulge or swelling discomfort or pain,Abdominal Hernia
headache fever confusion seizures neurological symptoms,Encephalitis
constant excessive worrying restlessness increased heart rate panic attacks,Anxiety
sneezing facial runny nasal congestion or nose smell pressure loss pain of,Nose Disorder
specific meet criteria symptoms for eating a the disorder full that not do,Other Specified Feeding or Eating Disorder (OSFED)
disabling migraines recurrent,Chronic Migraine
unyielding sore throat difficulty swallowing voice changes ear pain neck mass weight loss,Head and Neck Cancer
increased red blood cell count fatigue headache dizziness itching enlarged spleen moderate,Polycythemia Vera
enlarged thyroid gland in the neck swelling or visible protrusion difficulty swallowing or breathing,Goiter
severe headaches nausea sensitivity to unaccented and sound,Migraine
increased red blood cell count fatigue headache dizziness itching enlarged spleen,Polycythemia Vera
or cough congestion nasal pressure facial thick pain postnasal drip fatigue discharge nasal,Chronic Sinusitis
ear pain particularly behind the ear swelling and redness of the ear or the area behind the ear fever headache hearing loss or impaired hearing drainage of fluid or pus from the ear earache irritability in infants and young children tenderness or pain when touching the area mastoid bone protrusion or swelling,Mastoiditis
tremors stiffness slowness of movement,Parkinson Disease
flank pain urinary frequency swelling in the abdomen worse during exertion,Hydronephrosis
the and painful membranes skin mucous blisters on,Pemphigus
swelling of the scrotum worse at night,Hydrocele of the Testicle
pain or soreness in the tailbone area swelling redness drainage of pus or blood abscess formation,Pilonidal Cyst
fatigue swollen and bleeding gums joint nuisance,Scurvy
heel pain tenderness difficulty walking,Plantar Fasciitis
legs or in feeling tightness of swelling or heaviness arms,Lymphedema
itching patches the red skin scaly on,Psoriasis
vaginal dryness vaginal burning frequent urination urinary tract infections painful intercourse,Atrophic vaginitis
moderate floaters in vision blurry vision eye pain,Vitreous Hemorrhage
migraines disabling recurrent,Chronic Migraine
blood visual proteinuria headaches high pressure disturbances swelling,Preeclampsia
impaired memory and cognition altered judgment anxiety improved with rest,Marijuana Abuse
vaginal bleeding abdominal cramp pelvic pain,Threatened Pregnancy
intermittent increased energy and alertness euphoria decreased appetite increased heart rate and blood pressure insomnia restlessness irritability paranoia psychosis in severe cases,Stimulant Use Disorder
skipped or extra heartbeats palpitations lightheadedness constant,Premature Ventricular Contractions (PVCs)
severe sore pharynx difficulty swallowing fever swollen tonsils voice changes neck pain or stiffness,Peritonsillar Abscess
for a few days severe nausea and vomiting during pregnancy,Hyperemesis Gravidarum
severe pain swelling deformity bruising difficulty moving or using the bear on area,Crushing Injury
fatigue swelling of the legs or ankles decreased appetite difficulty concentrating increased urination or urine changes blood in urine high blood pressure started after cold,Chronic Kidney Disease
severe excessive daytime sleepiness sudden loss of muscle tone cataplexy,Narcolepsy
loss affected pain fever hearing from the fluid the muffled ear drainage hearing or ear ear in,Acute Otitis Media
central blind vision or blurred distorted spots,Macular Degeneration
itching in such sensation skin red armpits groin inflamed raw as or skin or or folds burning,Intertrigo
difficulty breathing rapid respiration chest pain,Atelectasis
the specific facial other changes or vision involved areas nerve speaking the swallowing sensation on cranial include weakness abnormalities of depends movement or can loss symptoms or face eye difficulty in paralysis,Cranial Nerve Palsy
easy or excessive bruising prolonged or excessive bleeding from cuts or injuries frequent nosebleeds heavy or prolonged menstrual periods bleeding gums blood in urine or stool since this morning,Von Willebrand Disease
pain chest breathing breathing difficulty rapid,Atelectasis
weakness irritability twitches or numbness of nausea loss appetite cramps confusion seizures irregular tingling or heartbeat personality changes vomiting fatigue muscle mental,Magnesium Deficiency
severe eye pain headache blurred vision halos around lights nausea and vomiting,Angle-Closure Glaucoma
impulsive behaviors e g gambling stealing difficulty resisting urges,Impulse Control Disorder
eye redness pain or discomfort blurred or decreased vision increased sensitivity to light,Cornea Infection
blurred or ill shapen vision floaters impaired color vision dark or empty areas in the visual field vision loss,Diabetic retinopathy
excessive daytime sleepiness sudden loss of muscle tone cataplexy,Narcolepsy
facial weakness or paralysis drooping of the utter or eyelid,Bell Palsy
fatigue shortness of breath chest pain or discomfort heart palpitations fainting or lightheadedness conceited legs or ankles,Pulmonic Valve Disease
severe and chronic pain often in the limbs with associated swelling changes in skin color or temperature abnormal sweating limited range of motion,Complex Regional Pain Syndrome
fatigue mouth pain dry and skin eyes joint dry,Sjögren's syndrome
progressive muscle weakness and degeneration difficulty walking or moving muscle wasting worse during exertion,Muscular Dystrophy
leakage sudden intense followed by urine to involuntary urge urinate,Urge Incontinence
and abdominal vomiting fever abdomen severe upper swollen nausea pulse jaundice pain rapid tender,Acute Pancreatitis
severe and persistent pain changes in skin colouring material or temperature swelling stiffness,Complex Regional Pain Syndrome (CRPS)
scrotum testicle or underdeveloped abnormal in the the of s testicle s area absence smaller undescended testicle positioning groin higher empty or hernia s inguinal,Cryptorchidism
sudden and severe abdominal or pelvic pain on one side sharp or stabbing pain nausea vomiting fever rapid heartbeat abdominal tenderness bloating swelling pain during intercourse abnormal bleeding or spotting moderate,Ovarian Torsion
drowsiness confusion slowed breathing worse during exertion,Sedatives Poisoning
worse during exertion uncomfortable sensation in the legs usually in the evening or at night urge to move legs for relief,Restless Leg Syndrome
constant muscle stiffness tremors involuntary movements,Extrapyramidal Effect of Drugs
vaginal bleeding cramping abdominal pain nausea fatigue emotional distress,Induced Abortion
sore throat difficulty swallowing swollen lymph nodes,Pharyngitis
or arms or difficulty tenderness pain moving swelling the head or numbness the weakness legs in turning neck severe,Fracture of the Neck
frequency urgency urinary cases high in in urinary frequent tract severe children or infections blood pressure bedwetting,Vesicoureteral Reflux
low blood sugar hypoglycemia symptom e g confusion sweating,Insulin Overdose
cravings for alcohol inability to control or limit intoxicant consumption withdrawal symptoms such as tremors anxiety sweating when attempting to stop or reduce alcohol use continued use despite negative consequences such as relationship problems health issues neglecting responsibilities tolerance to alcohol,Alcohol Use Disorder
metabolic acidosis apid breathing rapid heart rate confusion headache dizziness seizures,Ethylene glycol poisoning-2
mouth taste swelling bad dry pain,Submandibular stones
reduced hearing sensitivity muffled or blocked sound since this morning,Conductive Hearing Loss
low blood sugar hypoglycemia symptoms e g confusion sweating,Insulin Overdose
cough fever chest painfulness difficulty breathing,Pneumonia
joint pain stiffness swelling reduced range of motion,Osteochondrosis
constant sudden involuntary muscle contractions muscle pain stiffness limited range of motion,Muscle Spasm
inflammation of blood vessels leading to various symptoms depending on the affected organs including rash fever fatigue muscle and joint pain truncation of breath weight loss,Vasculitis
mild to moderate head pain tightness or pressure sensation on both sides of head,Tension Headache
eye vision to eye fever tearing blurred the pain swelling light spots vision sensitivity vision from the dark redness in floaters cobwebs photophobia or discharge increased excessive decreased,Endophthalmitis
anxiety restlessness irritability tremors sweating nausea vomiting insomnia drug cravings,Drug Withdrawal
vaginal bleeding abdominal cramps pelvic pain mild,Threatened Pregnancy
fatigue weakness pale skin shortness of breath decreased exercise tolerance,Anemia of Chronic Disease
headache confusion dizziness nausea or vomiting seizures weakness or numbness intermittent,Subdural hemorrhage
pain prolonged pain frequent or urination miscarriages leg infertility or the in recurrent pelvic or uterus abdomen or difficulty bladder menstrual some enlarged cases emptying periods pressure constipation heavy backache,Uterine Fibroids
fatigue increased hunger slow healing of wounds,Type 2 Diabetes
swelling in testicles or or discomfort size the shape pain or testicular in lump changes,Testicular Cancer
lack of menstrual full point,Idiopathic Absence of Menstruation
since this morning lower back pain discomfort in the pelvic area,Pregnancy-Related Back Pain
painful micturition abnormal discharge from the genitals pelvic pain,Gonorrhea
headaches vision problems such as blurred vision or loss of peripheral vision hormonal imbalances such as excessive production or deficiency of specific hormones fatigue weight gain or loss menstrual irregularities infertility erectile dysfunction growth abnormalities in children mood changes cognitive impairments,Pituitary Adenoma
high blood sugar levels during pregnancy worse at night,Gestational Diabetes
fragile bones loss of height over time back pain fractures,Osteoporosis
muscle stiffness tremors involuntary bowel movement,Extrapyramidal Effect of Drugs
worse at night increased red blood cell count fatigue headache dizziness itching enlarged spleen,Polycythemia Vera
unreasonable worrying restlessness increased heart rate panic attacks,Anxiety
gradual hearing loss difficulty hearing high pitched sounds speech sounds smother or unclear,Presbycusis
constant localized muscle pain trigger points,Myofascial Pain Syndrome
chest or back pain shortness of breath huskiness difficulty swallowing,Thoracic Aortic Aneurysm
pain palpitations or rapid irregular shortness swelling or dizziness physical fainting lightheadedness or breath fatigue exertion fainting in chest feet or episodes heartbeat or during legs of or ankles heart especially discomfort near the activity,Hypertrophic Obstructive Cardiomyopathy (HOCM)
sore throat fever painful sores or blisters in the mouth and throat difficulty swallowing loss of appetite,Herpangina
photograph or burning pain tingling or numbness,Neuropathic Pain
severe headaches nausea sensitivity to light and level headed,Migraine
severe abdominal pain bloody stools diarrhea nausea vomiting fever rapid heart rate low blood pressure,Ischemia of the Bowel
progressive muscle weakness and degeneration difficulty walk to or moving muscle wasting,Muscular Dystrophy
elevated intraocular pressure without optic nerve damage,Ocular Hypertension
high levels of cholesterol in the blood fatty wedge xanthomas on the skin or tendons chest pain or angina heart attacks strokes,Hypercholesterolemia
restlessness insomnia vomiting irritability anxiety nausea cravings drug sweating tremors,Drug Withdrawal
for a few days fatigue weakness pale skin,Anemia due to Chronic Kidney Disease
constant palpitations sweating trembling shortness of breath fear of losing control dizziness,Panic disorder
heel pain especially when walking or standing tenderness swelling inflammation of the surrounding tissue moderate,Bone Spur of the Calcaneus
red scaly patches on the skin itching no medication taken,Psoriasis
severe pain swelling bruising difficulty straightening or bending the knee deformity worse during exertion,Fracture of the Patella
worse at night fatigue dizziness fainting chest pain or discomfort shortness of breath irregular heart rhythms,Heart Block
intense joint pain swelling redness,Gout
floaters in vision blurry vision eye pain intermittent,Vitreous Hemorrhage
shaking dizziness confusion sweating,Hypoglycemia
impaired memory and cognition altered judgment anxiety,Marijuana Abuse
headache dizziness nausea or vomiting confusion memory problems sensitivity to dismount or noise mood changes,Concussion
joint swelling pain warmth limited range of motion intermittent,Hemarthrosis
weakness jaundice skin shortness breath fatigue pale of,Hemolytic Anemia
sinew weakness or fatigue irregular heartbeat or palpitations numbness or tingling nausea or vomiting,Hyperkalemia
changes fatigue weight skin mood swings dry,Thyroid Disease
lump swelling difficulty pain when swallowing and speaking facial weakness facial paralysis,Mucoepidermoid carcinoma
increased red blood cell count fatigue headache dizziness itch enlarged spleen,Polycythemia Vera
mellow blood pressure chest pain or discomfort shortness of breath fatigue,Hypertensive Heart Disease
muscle wasting fatigue weakness delayed wound healing swelling of the limbs hair loss impaired immunity,Protein Deficiency
lower back pain soreness in the pelvic area,Pregnancy-Related Back Pain
chest pain swelling and tenderness of the cartilage connecting the ribs to the breastbone,Tietze Syndrome
lump pain tenderness difficulty eating,Sialolithiasis
fatigue pale skin frequent infections shortness of breath rapid or guerilla heartbeats prolonged bleeding or bruising,Aplastic Anemia
swollen lymph nodes fever fatigue headache rash for a few days,Cat Scratch Disease
weakness numbness tingling in limbs,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)
side severe pain or in urination urine the the back frequent in blood,Kidney Stone
vaginal bleeding ab pain or cramping shoulder pain if the fallopian tube ruptures,Ectopic Pregnancy
to sound sensitivity light headaches nausea and severe,Migraine
worse during exertion fatigue pale skin frequent infections shortness of breath rapid or irregular heartbeats prolonged bleeding or bruising,Aplastic Anemia
severe headaches nausea sensitivity to light and sound,Migraine
psychiatric motor symptoms cognitive and,Huntington Disease
elevated intraocular pressure visual field of operation loss,Exfoliation Glaucoma
irregular periods excessive hair growth acne weight gain ovarian cysts constant,Polycystic Ovarian Syndrome
ear pain pyrexia fluid drainage from the ear,Otitis Media
sedation drowsiness slurred speech confusion respiratory depression intermittent,Drug Abuse (Barbiturates)
extreme weight loss venerate of gaining weight distorted body image,Anorexia Nervosa
painful urination abnormal discharge from the genitals pelvic pain,Gonorrhea
intense itching seeable lice or nits in the affected area,Parasitic Infections
on patches sun in the usually scaly skin areas rough exposed,Actinic Keratosis
severe headaches nausea predisposition to light and sound,Migraine
sudden involuntary muscle contractions muscle pain stiffness limited range of motion,Muscle Spasm
severe fatigue weakness pale skin shortness of breath decreased exercise tolerance,Anemia of Chronic Disease
pain joint stiffness swelling,Osteoarthritis
since this morning high fever severe headache joint and muscle pain rash nausea or vomiting bleeding tendencies,Dengue Fever
since this morning bone pain fractures fatigue unexplained weight loss,Bone Cancer
sore throat fever rash red sandpaper like swollen glands constant,Scarlet Fever
joint pain stiffness swelling,Arthritis
constant abdominal or back pain unexplained weight loss hormonal imbalances,Adrenal Cancer
eye redness severe eye pain blurred vision improved with rest,Scleritis
sedation relaxation reduced anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce benzodiazepine use continued use despite negative consequences such as relationship problems health risks worse during exertion,Benzodiazepine Use Disorder
difficulty breathing rapid take a breather chest pain,Atelectasis
headache dizziness nausea confusion started after cold,Carbon Monoxide Poisoning
pain weakness muscle inflammation,Myositis
of skin urine yellowing eyes the and pale stools dark,Neonatal Jaundice
eye pain redness foreign body sensation sensitivity to light,Corneal Abrasion
severe obsessive focus on clean eating healthy food choices,Orthorexia Nervosa
pain color impairment or lights eye movement floaters vision eye flashing loss blurry or vision with vision,Optic Neuritis
high blood sugar pull down during pregnancy,Gestational Diabetes
swelling pain dry mouth bad taste moderate,Wharton's duct stones
on feet hands the and skin particularly itchy,Gestational Cholestasis
worse during exertion severe and chronic pain often in the limbs with associated swelling changes in skin color or temperature abnormal sweating limited range of motion,Complex Regional Pain Syndrome
moderate severe and chronic pain often in the limbs with associated swelling changes in skin color or temperature abnormal sweating limited range of motion,Complex Regional Pain Syndrome
for a few days sudden involuntary muscle contractions muscle pain stiffness limited range of motion,Muscle Spasm
high blood sugar levels during pregnancy constant,Gestational Diabetes
swelling of the scrotum,Hydrocele of the Testicle
lump facial numbness swelling tingling,Adenoid cystic carcinoma
moderate obsessive focus on clean eating healthy food choices,Orthorexia Nervosa
spontaneous muscles excessive bleeding prolonged or or and from joints dental after surgery bruising bleeding bleeding work in or wounds,Hemophilia
flank pain urinary frequency swelling in the belly,Hydronephrosis
increased energy and alertness euphoria decreased appetite increased heart rate and blood blackjack insomnia restlessness irritability paranoia psychosis in severe cases,Stimulant Use Disorder
painful urination abnormal electric discharge from the genitals pelvic pain,Gonorrhea
worse during exertion swollen salivary glands usually parotid fever headache fatigue,Mumps
muscle weakness loss of sensation chronic pain worse at night,Syringomyelia
sharp or aching pain in the lower abdominal cavity or groin,Round Ligament Pain
tremors stiffness slowness of movement for a few days,Parkinson Disease
nausea vomiting diarrhea abdominal pain or cramps fever worse during exertion,Gastroenteritis (Stomach Flu)
severe pain swelling bruising difficulty straightening or bending the knee disfigurement,Fracture of the Patella
mild excessive body weight increased risk of chronic conditions,Obesity
sudden and severe abdominal or pelvic pain on one side sharp or stabbing pain nausea vomiting fever rapid heartbeat abdominal tenderness bloating swelling pain during intercourse abnormal bleeding or spotting,Ovarian Torsion
since this morning lump swelling facial changes,Acinic cell carcinoma
abdominal or plunk for pain unexplained weight loss hormonal imbalances,Adrenal Cancer
abdominal pain high blood imperativeness kidney cysts,Polycystic Kidney Disease
around blisters or small lips mouth painful the the on,Cold Sore
itchy red rash caused by contact with irritants or allergens,Contact Dermatitis
fatigue weight gain constipation dry skin depression muscle aches and stiffness sensitivity to cold,Hashimoto Thyroiditis
short height gonadal dysgenesis webbed neck lymphedema,Turner syndrome
headache nausea vomiting cognitive or developmental problems expatiate head in infants,Hydrocephalus
skin on red patches scaly itching the,Psoriasis
high blood pressure during gestation,Pregnancy-Induced Hypertension
the hands sore fatigue balance tingling breath feet pale in and shortness or skin weakness problems of tongue numbness,Vitamin B12 Deficiency
abdominal pain or discomfort difficulty swallowing choking or gagging drooling nausea or vomiting release of appetite chest pain or pressure respiratory distress coughing or wheezing gastrointestinal bleeding bowel obstruction perforation of the digestive tract,Foreign Body in the Gastrointestinal Tract
elevated intraocular pressure without optic nerve damage,Ocular Hypertension
euphoria increased energy dilated pupils speedy heart rate high blood pressure risk of heart attack or stroke,Drug Abuse (Cocaine)
